,homo_sapiens_ENSG00000198125,chlorocebus_sabaeus_ENSCSAG00000008174,otolemur_garnettii_ENSOGAG00000005651,nomascus_leucogenys_ENSNLEG00000014375,prolemur_simus_ENSPSMG00000021110,aotus_nancymaae_ENSANAG00000020373,gorilla_gorilla_ENSGGOG00000011478,pan_troglodytes_ENSPTRG00000023553,rhinopithecus_roxellana_ENSRROG00000020662,rhinopithecus_bieti_ENSRBIG00000040058,pan_paniscus_ENSPPAG00000036732,mandrillus_leucophaeus_ENSMLEG00000032335,carlito_syrichta_ENSTSYG00000026219,cebus_capucinus_ENSCCAG00000031738,pongo_abelii_ENSPPYG00000040455
homo_sapiens_ENSG00000198125,0.0,0.05651140213012695,0.1826220154762268,0.01026010513305664,0.12775039672851562,0.12564343214035034,0.006059825420379639,0.008008301258087158,0.06596070528030396,0.05651140213012695,0.008008301258087158,0.05651140213012695,0.08127689361572266,0.11808538436889648,0.021835803985595703
chlorocebus_sabaeus_ENSCSAG00000008174,0.05651140213012695,0.0,0.18029016256332397,0.04700613021850586,0.13565140962600708,0.10673213005065918,0.054319679737091064,0.06409865617752075,0.00979691743850708,0.0,0.06409865617752075,0.0,0.07808899879455566,0.09801959991455078,0.035151660442352295
otolemur_garnettii_ENSOGAG00000005651,0.1826220154762268,0.18029016256332397,0.0,0.1903964877128601,0.13979071378707886,0.1914358139038086,0.18090146780014038,0.18568068742752075,0.18621033430099487,0.18029016256332397,0.18568068742752075,0.18029016256332397,0.13734310865402222,0.19280123710632324,0.19118648767471313
nomascus_leucogenys_ENSNLEG00000014375,0.01026010513305664,0.04700613021850586,0.1903964877128601,0.0,0.14370518922805786,0.11708086729049683,0.007654249668121338,0.018194735050201416,0.05618375539779663,0.04700613021850586,0.018194735050201416,0.04700613021850586,0.09160703420639038,0.11002761125564575,0.011460840702056885
prolemur_simus_ENSPSMG00000021110,0.12775039672851562,0.13565140962600708,0.13979071378707886,0.14370518922805786,0.0,0.1209668517112732,0.12949198484420776,0.13001519441604614,0.14291173219680786,0.13565140962600708,0.13001519441604614,0.13565140962600708,0.10206931829452515,0.12009936571121216,0.1482691764831543
aotus_nancymaae_ENSANAG00000020373,0.12564343214035034,0.10673213005065918,0.1914358139038086,0.11708086729049683,0.1209668517112732,0.0,0.12424546480178833,0.1268368363380432,0.11385828256607056,0.10673213005065918,0.1268368363380432,0.10673213005065918,0.0993766188621521,0.02132171392440796,0.12130087614059448
gorilla_gorilla_ENSGGOG00000011478,0.006059825420379639,0.054319679737091064,0.18090146780014038,0.007654249668121338,0.12949198484420776,0.12424546480178833,0.0,0.01403111219406128,0.06357431411743164,0.054319679737091064,0.01403111219406128,0.054319679737091064,0.08707553148269653,0.11704903841018677,0.019003629684448242
pan_troglodytes_ENSPTRG00000023553,0.008008301258087158,0.06409865617752075,0.18568068742752075,0.018194735050201416,0.13001519441604614,0.1268368363380432,0.01403111219406128,0.0,0.07316416501998901,0.06409865617752075,0.0,0.06409865617752075,0.08826184272766113,0.11910182237625122,0.02984023094177246
rhinopithecus_roxellana_ENSRROG00000020662,0.06596070528030396,0.00979691743850708,0.18621033430099487,0.05618375539779663,0.14291173219680786,0.11385828256607056,0.06357431411743164,0.07316416501998901,0.0,0.00979691743850708,0.07316416501998901,0.00979691743850708,0.08672904968261719,0.1048850417137146,0.04466438293457031
rhinopithecus_bieti_ENSRBIG00000040058,0.05651140213012695,0.0,0.18029016256332397,0.04700613021850586,0.13565140962600708,0.10673213005065918,0.054319679737091064,0.06409865617752075,0.00979691743850708,0.0,0.06409865617752075,0.0,0.07808899879455566,0.09801959991455078,0.035151660442352295
pan_paniscus_ENSPPAG00000036732,0.008008301258087158,0.06409865617752075,0.18568068742752075,0.018194735050201416,0.13001519441604614,0.1268368363380432,0.01403111219406128,0.0,0.07316416501998901,0.06409865617752075,0.0,0.06409865617752075,0.08826184272766113,0.11910182237625122,0.02984023094177246
mandrillus_leucophaeus_ENSMLEG00000032335,0.05651140213012695,0.0,0.18029016256332397,0.04700613021850586,0.13565140962600708,0.10673213005065918,0.054319679737091064,0.06409865617752075,0.00979691743850708,0.0,0.06409865617752075,0.0,0.07808899879455566,0.09801959991455078,0.035151660442352295
carlito_syrichta_ENSTSYG00000026219,0.08127689361572266,0.07808899879455566,0.13734310865402222,0.09160703420639038,0.10206931829452515,0.0993766188621521,0.08707553148269653,0.08826184272766113,0.08672904968261719,0.07808899879455566,0.08826184272766113,0.07808899879455566,0.0,0.10039377212524414,0.09144669771194458
cebus_capucinus_ENSCCAG00000031738,0.11808538436889648,0.09801959991455078,0.19280123710632324,0.11002761125564575,0.12009936571121216,0.02132171392440796,0.11704903841018677,0.11910182237625122,0.1048850417137146,0.09801959991455078,0.11910182237625122,0.09801959991455078,0.10039377212524414,0.0,0.11309415102005005
pongo_abelii_ENSPPYG00000040455,0.021835803985595703,0.035151660442352295,0.19118648767471313,0.011460840702056885,0.1482691764831543,0.12130087614059448,0.019003629684448242,0.02984023094177246,0.04466438293457031,0.035151660442352295,0.02984023094177246,0.035151660442352295,0.09144669771194458,0.11309415102005005,0.0
