,homo_sapiens_ENSG00000198125,chlorocebus_sabaeus_ENSCSAG00000008174,otolemur_garnettii_ENSOGAG00000005651,nomascus_leucogenys_ENSNLEG00000014375,prolemur_simus_ENSPSMG00000021110,aotus_nancymaae_ENSANAG00000020373,gorilla_gorilla_ENSGGOG00000011478,pan_troglodytes_ENSPTRG00000023553,rhinopithecus_roxellana_ENSRROG00000020662,rhinopithecus_bieti_ENSRBIG00000040058,pan_paniscus_ENSPPAG00000036732,mandrillus_leucophaeus_ENSMLEG00000032335,carlito_syrichta_ENSTSYG00000026219,cebus_capucinus_ENSCCAG00000031738,pongo_abelii_ENSPPYG00000040455
homo_sapiens_ENSG00000198125,0.0,0.05651181936264038,0.1826222538948059,0.010260283946990967,0.12775057554244995,0.12564373016357422,0.006060123443603516,0.008008480072021484,0.06596094369888306,0.05651181936264038,0.008008480072021484,0.05651181936264038,0.08127743005752563,0.11808556318283081,0.02183622121810913
chlorocebus_sabaeus_ENSCSAG00000008174,0.05651181936264038,0.0,0.18029052019119263,0.04700654745101929,0.13565140962600708,0.1067323088645935,0.05432027578353882,0.06409913301467896,0.00979703664779663,0.0,0.06409913301467896,0.0,0.07808941602706909,0.09801983833312988,0.035151779651641846
otolemur_garnettii_ENSOGAG00000005651,0.1826222538948059,0.18029052019119263,0.0,0.1903969645500183,0.13979071378707886,0.1914360523223877,0.18090170621871948,0.18568086624145508,0.18621069192886353,0.18029052019119263,0.18568086624145508,0.18029052019119263,0.13734310865402222,0.19280129671096802,0.19118672609329224
nomascus_leucogenys_ENSNLEG00000014375,0.010260283946990967,0.04700654745101929,0.1903969645500183,0.0,0.1437053680419922,0.11708110570907593,0.007654368877410889,0.018194735050201416,0.05618387460708618,0.04700654745101929,0.018194735050201416,0.04700654745101929,0.09160757064819336,0.1100279688835144,0.011461079120635986
prolemur_simus_ENSPSMG00000021110,0.12775057554244995,0.13565140962600708,0.13979071378707886,0.1437053680419922,0.0,0.12096661329269409,0.12949210405349731,0.13001537322998047,0.1429116129875183,0.13565140962600708,0.13001537322998047,0.13565140962600708,0.10206955671310425,0.12009936571121216,0.14826899766921997
aotus_nancymaae_ENSANAG00000020373,0.12564373016357422,0.1067323088645935,0.1914360523223877,0.11708110570907593,0.12096661329269409,0.0,0.12424570322036743,0.12683725357055664,0.113858163356781,0.1067323088645935,0.12683725357055664,0.1067323088645935,0.09937667846679688,0.021322011947631836,0.12130117416381836
gorilla_gorilla_ENSGGOG00000011478,0.006060123443603516,0.05432027578353882,0.18090170621871948,0.007654368877410889,0.12949210405349731,0.12424570322036743,0.0,0.01403135061264038,0.06357461214065552,0.05432027578353882,0.01403135061264038,0.05432027578353882,0.08707594871520996,0.11704897880554199,0.01900392770767212
pan_troglodytes_ENSPTRG00000023553,0.008008480072021484,0.06409913301467896,0.18568086624145508,0.018194735050201416,0.13001537322998047,0.12683725357055664,0.01403135061264038,0.0,0.07316440343856812,0.06409913301467896,0.0,0.06409913301467896,0.08826237916946411,0.11910194158554077,0.029840707778930664
rhinopithecus_roxellana_ENSRROG00000020662,0.06596094369888306,0.00979703664779663,0.18621069192886353,0.05618387460708618,0.1429116129875183,0.113858163356781,0.06357461214065552,0.07316440343856812,0.0,0.00979703664779663,0.07316440343856812,0.00979703664779663,0.08672958612442017,0.10488510131835938,0.04466444253921509
rhinopithecus_bieti_ENSRBIG00000040058,0.05651181936264038,0.0,0.18029052019119263,0.04700654745101929,0.13565140962600708,0.1067323088645935,0.05432027578353882,0.06409913301467896,0.00979703664779663,0.0,0.06409913301467896,0.0,0.07808941602706909,0.09801983833312988,0.035151779651641846
pan_paniscus_ENSPPAG00000036732,0.008008480072021484,0.06409913301467896,0.18568086624145508,0.018194735050201416,0.13001537322998047,0.12683725357055664,0.01403135061264038,0.0,0.07316440343856812,0.06409913301467896,0.0,0.06409913301467896,0.08826237916946411,0.11910194158554077,0.029840707778930664
mandrillus_leucophaeus_ENSMLEG00000032335,0.05651181936264038,0.0,0.18029052019119263,0.04700654745101929,0.13565140962600708,0.1067323088645935,0.05432027578353882,0.06409913301467896,0.00979703664779663,0.0,0.06409913301467896,0.0,0.07808941602706909,0.09801983833312988,0.035151779651641846
carlito_syrichta_ENSTSYG00000026219,0.08127743005752563,0.07808941602706909,0.13734310865402222,0.09160757064819336,0.10206955671310425,0.09937667846679688,0.08707594871520996,0.08826237916946411,0.08672958612442017,0.07808941602706909,0.08826237916946411,0.07808941602706909,0.0,0.10039407014846802,0.0914468765258789
cebus_capucinus_ENSCCAG00000031738,0.11808556318283081,0.09801983833312988,0.19280129671096802,0.1100279688835144,0.12009936571121216,0.021322011947631836,0.11704897880554199,0.11910194158554077,0.10488510131835938,0.09801983833312988,0.11910194158554077,0.09801983833312988,0.10039407014846802,0.0,0.11309456825256348
pongo_abelii_ENSPPYG00000040455,0.02183622121810913,0.035151779651641846,0.19118672609329224,0.011461079120635986,0.14826899766921997,0.12130117416381836,0.01900392770767212,0.029840707778930664,0.04466444253921509,0.035151779651641846,0.029840707778930664,0.035151779651641846,0.0914468765258789,0.11309456825256348,0.0
